node	occupation	category
1	scientist	I
3	politician	P
4	celebrity	D
5	politician	I
6	politician	D
7	scientist	D
8	celebrity	I
9	celebrity	D
10	celebrity	I
11	celebrity	I
12	scientist	I
13	celebrity	D
14	celebrity	I
15	politician	D
16	celebrity	D
17	politician	P
18	scientist	P
19	scientist	P
20	politician	D
21	politician	I
22	celebrity	D
23	scientist	D
24	politician	D
25	celebrity	D
26	politician	D
27	politician	P
28	celebrity	I
29	celebrity	P
30	scientist	I
31	scientist	P
32	politician	D
33	scientist	P
34	politician	I
35	politician	D
36	scientist	I
37	politician	I
38	scientist	I
39	scientist	P
40	celebrity	I
41	politician	P
42	politician	D
43	celebrity	I
44	celebrity	I
45	scientist	D
46	politician	P
47	celebrity	P
48	scientist	P
49	politician	P
50	celebrity	D
51	politician	P
52	politician	P
53	scientist	P
54	politician	I
55	celebrity	P
56	politician	P
57	celebrity	I
58	politician	I
59	scientist	D
60	celebrity	P
61	politician	P
62	politician	P
63	celebrity	D
64	celebrity	P
65	celebrity	I
66	politician	D
67	politician	I
68	celebrity	P
69	scientist	I
70	celebrity	D
71	scientist	P
72	celebrity	D
73	politician	P
74	politician	I
75	celebrity	P
76	politician	D
77	celebrity	P
78	politician	D
79	celebrity	P
80	politician	I
81	scientist	D
82	scientist	D
83	scientist	I
84	celebrity	D
85	scientist	I
86	celebrity	D
87	politician	P
88	politician	P
89	celebrity	P
90	politician	D
91	politician	I
92	politician	P
93	politician	P
94	politician	D
95	celebrity	P
96	politician	I
97	celebrity	I
98	celebrity	D
99	celebrity	I
100	politician	I
101	scientist	I
102	scientist	I
103	celebrity	P
104	celebrity	P
105	scientist	D
106	scientist	D
107	celebrity	D
108	celebrity	P
109	celebrity	P
110	scientist	D
111	celebrity	I
112	politician	D
113	scientist	I
114	celebrity	D
115	politician	D
116	scientist	D
117	scientist	I
118	celebrity	P
119	celebrity	P
120	celebrity	I
121	politician	D
122	politician	P
123	politician	I
124	politician	I
125	celebrity	I
126	politician	P
127	scientist	P
128	celebrity	D
129	scientist	D
130	scientist	I
131	celebrity	P
132	scientist	P
133	politician	D
134	celebrity	D
135	politician	I
136	scientist	I
137	celebrity	I
138	scientist	I
139	celebrity	I
140	scientist	D
141	celebrity	P
142	celebrity	P
143	celebrity	D
144	scientist	I
145	scientist	D
146	celebrity	I
147	celebrity	P
148	scientist	D
149	scientist	I
150	celebrity	D
151	scientist	P
152	politician	D
153	celebrity	P
154	scientist	P
155	politician	I
156	celebrity	D
157	politician	P
158	scientist	P
159	scientist	P
160	scientist	I
161	scientist	P
162	politician	P
163	politician	P
164	celebrity	P
165	scientist	P
166	scientist	D
167	celebrity	P
168	scientist	I
169	politician	D
170	scientist	P
171	politician	D
172	celebrity	D
173	celebrity	D
174	celebrity	D
175	scientist	D
176	politician	P
177	politician	P
178	politician	P
179	scientist	I
180	politician	I
181	scientist	D
182	celebrity	D
183	scientist	I
184	scientist	D
185	celebrity	P
186	celebrity	D
187	scientist	D
188	politician	D
189	politician	D
190	scientist	P
191	politician	D
192	politician	P
193	celebrity	I
194	celebrity	I
195	celebrity	D
196	celebrity	D
197	celebrity	D
198	celebrity	D
199	politician	P
200	celebrity	D
201	celebrity	I
202	politician	I
203	scientist	D
