node1	node2
u4446	u10030
u4446	u5170
u4446	u7710
u4446	u1233
u4446	u1745
u4446	u7327
u4446	u5972
u4446	u8249
u4446	u8189
u4446	u8145
u4446	u298
u4446	u2901
u4446	u7772
u4446	u4793
u4446	u8612
u4446	u8362
u1431	u5055
u903	u10097
u903	u610
u903	u3874
u903	u9656
u903	u9989
u903	u3181
u903	u4836
u903	u65
u903	u532
u903	u8343
u903	u2458
u9668	u7235
u9668	u446
u9668	u7905
u9668	u318
u9668	u8702
u9668	u6203
u9668	u3612
u9668	u10833
u9668	u816
u2371	u1865
u2371	u916
u2371	u3819
u1440	u701
u1440	u3009
u1440	u501
u1440	u7942
u1440	u1205
u1440	u1882
u1440	u225
u1440	u4705
u1440	u6874
u1440	u2122
u1440	u1850
u1440	u2890
u1440	u7874
u1440	u5718
u1440	u2040
u1440	u176
u1440	u74
u1440	u8691
u1440	u1163
u1440	u2434
u1440	u401
u1440	u8454
u1440	u6193
u1440	u52
u1440	u8443
u1440	u687
u1440	u353
u1440	u4984
u1440	u6616
u1440	u1500
u345	u4601
u345	u8484
u345	u5948
u345	u4166
u345	u9316
u345	u3718
u345	u2915
u2613	u252
u2613	u1149
u2613	u2301
u2613	u4175
u2613	u1710
u795	u8948
u795	u577
u795	u5048
u795	u7509
u795	u4878
u795	u2469
u795	u3735
u795	u6836
u795	u6619
u537	u743
u537	u1350
u537	u6647
u537	u4735
u537	u2398
u537	u108
u537	u1292
u537	u9139
u537	u7836
u537	u1112
u537	u5171
u537	u9184
u537	u324
u537	u10481
u537	u6459
u537	u862
u537	u4872
u537	u3213
u537	u126
u537	u712
u537	u1247
u537	u7767
u537	u4946
u537	u5386
u537	u1475
u537	u2535
u537	u5272
u537	u8122
u537	u3851
u537	u1217
u537	u3110
u537	u10736
u537	u4790
u537	u2626
u537	u5358
u537	u3778
u537	u1447
u537	u325
u537	u4772
u537	u2454
u537	u2710
u537	u4715
u537	u4634
u537	u4815
u537	u8587
u537	u3567
u537	u1250
u537	u3028
u537	u10689
u537	u2652
u537	u3004
u537	u3662
u537	u1910
u537	u3664
u537	u5193
u537	u99
u537	u744
u537	u8724
u537	u5815
u537	u9660
u537	u3832
u537	u7755
u537	u2516
u537	u938
u537	u797
u6856	u1986
u6856	u46
u6856	u3784
u6856	u4287
u6856	u7633
u6856	u86
u6856	u1728
u6856	u1854
u6856	u9205
u1321	u1488
u1321	u4357
u4685	u2031
u4685	u211
u4685	u2894
u4685	u9374
u4685	u1020
u4685	u6710
u4685	u233
u4685	u844
u4685	u3942
u134	u4734
u134	u1774
u134	u1031
u134	u7360
u134	u6758
u134	u8677
u134	u2630
u134	u7544
u134	u3929
u134	u8601
u134	u2312
u134	u284
u134	u10083
u134	u8664
u134	u862
u134	u6016
u134	u55
u134	u3254
u134	u10476
u134	u1438
u134	u268
u134	u198
u134	u96
u134	u8420
u134	u3993
u134	u1318
u134	u7456
u134	u6305
u134	u2368
